quest,Type,low_hi
My thoughts were focused on the task I was performing,Focus,Not at all                            Completely
My thoughts involved future events,Future,Not at all                            Completely
My thoughts involved past events,Past,Not at all                            Completely
My thoughts involved myself,Self,Not at all                            Completely
My thoughts involved other people,Other,Not at all                            Completely
The content of my thoughts was:,Emotion,Negative                            Positive
My thoughts were in the form of images,Images,Not at all                            Completely
My thoughts were in the form of words,Words,Not at all                            Completely
My thoughts were vivid as if I was there,Vivid,Not at all                            Completely
My thoughts were detailed and specific,Detailed,Not at all                            Completely
This thought has recurrent themes similar to those I have had before,Habit,Not at all                            Completely
My thoughts tended to evolve in a series of steps,Evolving,Not at all                            Completely
My thoughts were:,Deliberate,Spontaneous                            Deliberate
